id1	id2	count1	count2
GBC127679	GBC104183	194	5
GBC111787	GBC104785	392	5
GBC105623	GBC105648	12	1
GBC112912	GBC105623	1222	12
GBC105623	GBC121257	12	1
GBC816522	GBC105646	75	2
GBC112999	GBC105648	9	1
GBC106533	GBC106227	10	1
GBC154537	GBC106227	186	1
GBC106533	GBC135833	10	5
GBC155172	GBC106533	12620	10
GBC177790	GBC106533	44	10
GBC479309	GBC107266	980	9
GBC107669	GBC107670	1	1
GBC115322	GBC107669	563	1
GBC108552	GBC108620	51	1
GBC158135	GBC109322	318	1
GBC109322	GBC180301	1	1
GBC481233	GBC109322	48	1
GBC109695	GBC111320	2	1
GBC111787	GBC109695	392	2
GBC110817	GBC111097	18	1
GBC110817	GBC111427	18	1
GBC118869	GBC110817	48642	18
GBC127679	GBC110817	194	18
GBC111000	GBC110980	7	1
GBC111000	GBC181509	7	1
GBC111026	GBC111014	11	1
GBC112844	GBC111014	20	1
GBC112912	GBC111026	1222	11
GBC111026	GBC114460	11	1
GBC111026	GBC116441	11	1
GBC119479	GBC111097	21	1
GBC111320	GBC113201	1	1
GBC119978	GBC111427	374	1
GBC128145	GBC111427	5	1
GBC111696	GBC111701	10	1
GBC111787	GBC111696	392	10
GBC111696	GBC111870	10	1
GBC111696	GBC111881	10	1
GBC111701	GBC111812	1	1
GBC111787	GBC111788	392	1
GBC111787	GBC111793	392	1
GBC111787	GBC111812	392	1
GBC111787	GBC111816	392	1
GBC111787	GBC111870	392	1
GBC111787	GBC111881	392	1
GBC111787	GBC113201	392	1
GBC111787	GBC181931	392	1
GBC111870	GBC111881	1	1
GBC112524	GBC112725	1	1
GBC112912	GBC112524	1222	1
GBC113106	GBC112524	4	1
GBC112912	GBC112725	1222	1
GBC113106	GBC112725	4	1
GBC112912	GBC112822	1222	1
GBC113021	GBC112822	6	1
GBC112912	GBC112844	1222	20
GBC112844	GBC112999	20	9
GBC112844	GBC113008	20	1
GBC112912	GBC112881	1222	14
GBC112881	GBC112967	14	1
GBC112912	GBC112892	1222	3
GBC112959	GBC112892	6	3
GBC112912	GBC112910	1222	1
GBC112912	GBC112914	1222	8
GBC112912	GBC112918	1222	5
GBC112912	GBC112950	1222	1
GBC112912	GBC112959	1222	6
GBC112912	GBC112967	1222	1
GBC112912	GBC112974	1222	12
GBC112912	GBC112999	1222	9
GBC112912	GBC113008	1222	1
GBC112912	GBC113021	1222	6
GBC112912	GBC113106	1222	4
GBC112912	GBC113386	1222	5
GBC112912	GBC114460	1222	1
GBC112912	GBC116441	1222	1
GBC112912	GBC121257	1222	1
GBC112912	GBC205576	1222	1
GBC112912	GBC1121746	1222	1
GBC112999	GBC113008	9	1
GBC115322	GBC113610	563	1
GBC114460	GBC116441	1	1
GBC115322	GBC115037	563	3
GBC115037	GBC115582	3	1
GBC115179	GBC115683	2	1
GBC115322	GBC115259	563	2
GBC115259	GBC115385	2	1
GBC115322	GBC115290	563	3
GBC115322	GBC115304	563	3
GBC115322	GBC115312	563	12
GBC115322	GBC115369	563	2
GBC115322	GBC115385	563	1
GBC115322	GBC115399	563	2
GBC115322	GBC115441	563	1
GBC115322	GBC115469	563	1
GBC115322	GBC115582	563	1
GBC115322	GBC207391	563	1
GBC115322	GBC824087	563	1
GBC115322	GBC1123442	563	1
GBC115327	GBC115347	1	1
GBC115399	GBC115398	2	1
GBC115399	GBC115441	2	1
GBC115399	GBC115469	2	1
GBC115441	GBC115469	1	1
GBC116211	GBC115985	36	2
GBC116211	GBC116143	36	1
GBC116211	GBC116166	36	2
GBC117604	GBC117048	25	7
GBC118869	GBC117048	48642	7
GBC119978	GBC117048	374	7
GBC118869	GBC117604	48642	25
GBC119978	GBC117604	374	25
GBC118109	GBC117922	370	2
GBC118398	GBC117922	231	2
GBC119249	GBC117922	4	2
GBC117922	GBC119285	2	1
GBC118109	GBC118048	370	1
GBC118720	GBC118048	195	1
GBC118048	GBC119319	1	1
GBC118109	GBC118070	370	5
GBC118070	GBC118134	5	1
GBC118779	GBC118070	323	5
GBC118070	GBC119321	5	1
GBC118094	GBC118093	3	1
GBC118107	GBC118093	3	1
GBC118838	GBC118093	2	1
GBC118109	GBC118094	370	3
GBC118839	GBC118094	293	3
GBC118109	GBC118107	370	3
GBC118865	GBC118107	181	3
GBC118109	GBC118134	370	1
GBC118869	GBC118109	48642	370
GBC118109	GBC119337	370	25
GBC118109	GBC119479	370	21
GBC118109	GBC119641	370	2
GBC118109	GBC127412	370	1
GBC118937	GBC118134	44	1
GBC118134	GBC119350	1	1
GBC118398	GBC118360	231	1
GBC119249	GBC118360	4	1
GBC118779	GBC118360	323	1
GBC118398	GBC118384	231	5
GBC118384	GBC118406	5	1
GBC118384	GBC119249	5	4
GBC118839	GBC118384	293	5
GBC118398	GBC118390	231	1
GBC119249	GBC118390	4	1
GBC118855	GBC118390	31	1
GBC118398	GBC118396	231	1
GBC118396	GBC118402	1	1
GBC119249	GBC118396	4	1
GBC118865	GBC118396	181	1
GBC118398	GBC118402	231	1
GBC118398	GBC118406	231	1
GBC118398	GBC118412	231	1
GBC118398	GBC118449	231	1
GBC118398	GBC119249	231	4
GBC118869	GBC118398	48642	231
GBC118398	GBC119218	231	25
GBC118398	GBC119262	231	7
GBC118398	GBC119285	231	1
GBC119249	GBC118402	4	1
GBC118874	GBC118402	13	1
GBC119249	GBC118406	4	1
GBC118890	GBC118406	17	1
GBC119249	GBC118412	4	1
GBC118917	GBC118412	624	1
GBC119249	GBC118449	4	1
GBC119124	GBC118449	10	1
GBC118598	GBC118520	17	3
GBC118639	GBC118520	6	3
GBC118869	GBC118520	48642	3
GBC118598	GBC118594	17	1
GBC118720	GBC118594	195	1
GBC118598	GBC118600	17	1
GBC118598	GBC118639	17	6
GBC118869	GBC118598	48642	17
GBC118917	GBC118600	624	1
GBC118639	GBC118619	6	1
GBC118779	GBC118619	323	1
GBC118639	GBC118641	6	1
GBC118869	GBC118639	48642	6
GBC118639	GBC121108	6	1
GBC118639	GBC125102	6	1
GBC118873	GBC118641	19	1
GBC118720	GBC118686	195	1
GBC118779	GBC118686	323	1
GBC118720	GBC118706	195	1
GBC118839	GBC118706	293	1
GBC118720	GBC118737	195	1
GBC118869	GBC118720	48642	195
GBC118720	GBC118980	195	15
GBC118720	GBC119001	195	30
GBC118720	GBC119103	195	1
GBC118720	GBC119260	195	1
GBC118720	GBC119319	195	1
GBC118720	GBC123091	195	1
GBC118917	GBC118737	624	1
GBC119003	GBC118737	2	1
GBC118779	GBC118763	323	5
GBC118839	GBC118763	293	5
GBC118779	GBC118796	323	1
GBC118869	GBC118779	48642	323
GBC118779	GBC118937	323	44
GBC118779	GBC118955	323	10
GBC118779	GBC119111	323	1
GBC118779	GBC119321	323	1
GBC118779	GBC127642	323	1
GBC118917	GBC118796	624	1
GBC118796	GBC118956	1	1
GBC118802	GBC118813	39	34
GBC118869	GBC118802	48642	39
GBC118917	GBC118802	624	39
GBC118802	GBC127652	39	2
GBC118813	GBC118824	34	1
GBC118869	GBC118813	48642	34
GBC118917	GBC118813	624	34
GBC118813	GBC118951	34	1
GBC118813	GBC119953	34	1
GBC118897	GBC118824	2	1
GBC118839	GBC118831	293	1
GBC118855	GBC118831	31	1
GBC118839	GBC118838	293	2
GBC118838	GBC118843	2	1
GBC118865	GBC118838	181	2
GBC118838	GBC118888	2	1
GBC118838	GBC487642	2	1
GBC118839	GBC118843	293	1
GBC118869	GBC118839	48642	293
GBC118839	GBC118890	293	17
GBC118839	GBC118897	293	2
GBC118839	GBC118902	293	1
GBC118839	GBC825984	293	1
GBC118839	GBC1125173	293	1
GBC118874	GBC118843	13	1
GBC118855	GBC118846	31	7
GBC118869	GBC118846	48642	7
GBC118846	GBC1125176	7	1
GBC118869	GBC118855	48642	31
GBC118855	GBC127671	31	1
GBC118865	GBC118867	181	1
GBC118869	GBC118865	48642	181
GBC118865	GBC118874	181	13
GBC118865	GBC118878	181	13
GBC118865	GBC118888	181	1
GBC118865	GBC118915	181	2
GBC118865	GBC118936	181	1
GBC118865	GBC125166	181	1
GBC118865	GBC825987	181	1
GBC118865	GBC1125178	181	1
GBC118871	GBC118867	12	1
GBC118867	GBC118880	1	1
GBC118869	GBC118870	48642	1
GBC118869	GBC118871	48642	12
GBC118869	GBC118873	48642	19
GBC118869	GBC118874	48642	13
GBC118869	GBC118878	48642	13
GBC118869	GBC118890	48642	17
GBC118869	GBC118897	48642	2
GBC118869	GBC118917	48642	624
GBC118869	GBC118937	48642	44
GBC118869	GBC118955	48642	10
GBC118869	GBC118980	48642	15
GBC118869	GBC119001	48642	30
GBC118869	GBC119053	48642	1
GBC118869	GBC119091	48642	1
GBC118869	GBC119124	48642	10
GBC118869	GBC119218	48642	25
GBC118869	GBC119249	48642	4
GBC118869	GBC119262	48642	7
GBC118869	GBC119337	48642	25
GBC118869	GBC119479	48642	21
GBC118869	GBC119978	48642	374
GBC118869	GBC121139	48642	25
GBC118869	GBC123104	48642	27
GBC118869	GBC125168	48642	12
GBC118869	GBC127679	48642	194
GBC118869	GBC141443	48642	1
GBC118869	GBC165943	48642	6
GBC118869	GBC187593	48642	11
GBC118869	GBC209329	48642	28
GBC118869	GBC294437	48642	8
GBC118869	GBC487652	48642	1
GBC118869	GBC825988	48642	31
GBC118869	GBC1125180	48642	11
GBC118871	GBC118870	12	1
GBC118873	GBC118870	19	1
GBC118870	GBC118875	1	1
GBC118873	GBC118871	19	12
GBC118871	GBC118880	12	1
GBC118873	GBC118877	19	1
GBC118873	GBC118920	19	1
GBC118873	GBC119056	19	1
GBC118873	GBC119340	19	1
