id	top_neigh_count	top2_neigh_count
GBC198071	17	11
GBC199038	5	1
GBC199071	1	1
GBC199637	12	11
GBC200270	446	338
GBC200885	2	1
GBC205918	446	156
GBC205993	446	184
GBC206055	664	446
GBC206062	446	25
GBC206072	446	228
GBC206073	7	1
GBC206187	446	23
GBC206222	130	1
GBC206405	446	9
GBC209715	374	28
GBC210871	28	25
GBC211026	37	33
GBC211034	37	1
GBC211541	192	184
GBC211657	446	38
GBC211829	184	139
GBC211856	345	184
GBC211858	184	10
GBC211867	184	7
GBC212181	2	1
GBC212182	262	1
GBC215991	37	18
GBC217257	56	35
GBC219443	40	2
GBC220814	1	1
GBC221406	338	156
GBC221503	338	184
GBC221577	664	338
GBC221581	338	25
GBC221583	338	200
GBC221586	338	150
GBC221590	338	228
GBC224166	29	19
GBC224168	200	29
GBC224870	2	1
GBC224901	22	1
GBC225028	156	20
GBC225116	200	20
GBC225118	124	20
GBC225896	156	5
GBC225898	156	7
GBC225899	664	156
GBC225902	156	43
GBC225914	156	124
GBC225921	156	109
GBC225997	184	14
GBC225998	184	23
GBC226001	664	184
GBC226004	184	140
GBC226005	184	43
GBC226020	184	124
GBC226066	23	2
GBC226092	23	19
GBC226093	19	10
GBC226096	124	19
GBC226098	109	19
GBC226100	2	1
GBC226142	23	6
GBC226167	140	13
GBC226201	150	3
GBC226210	664	10
GBC226241	140	23
GBC226245	664	7
GBC226250	140	18
GBC226266	664	446
GBC226273	664	200
GBC226277	200	140
GBC226280	664	150
GBC226284	150	140
GBC226286	200	150
GBC226287	228	18
GBC226293	228	140
GBC226294	228	200
GBC226298	228	150
GBC226309	200	124
GBC226311	124	7
GBC226313	150	124
GBC226316	228	124
GBC226322	109	3
GBC226335	200	109
GBC226339	228	109
GBC226343	124	109
GBC226385	228	21
GBC226399	140	14
GBC226452	664	23
GBC226502	664	13
GBC226994	140	8
GBC227185	664	8
GBC227190	124	8
GBC227381	315	23
GBC227388	315	26
GBC227390	315	140
GBC227391	315	43
GBC227393	315	200
GBC227396	315	150
GBC227399	315	228
GBC227405	315	124
GBC227412	315	109
GBC227414	3	3
GBC227418	3	3
GBC227485	315	13
GBC227607	315	9
GBC227608	3	1
GBC228444	116	59
GBC228849	40	33
GBC228864	40	1
GBC229196	1	1
GBC229408	59	56
GBC229699	59	47
GBC229887	8	1
GBC230596	3031	1
GBC230598	40	37
GBC230616	3031	1
GBC230631	33	15
GBC231775	664	38
GBC231780	109	38
GBC232468	262	1
GBC232469	7	3
GBC232586	1	1
GBC233801	8	7
GBC235055	23	15
GBC236247	2743	1
GBC236663	18	9
GBC237566	35	21
GBC237699	35	3
GBC240492	1	1
GBC241705	186	6
GBC242109	6	6
GBC245196	6	3
GBC245206	119	1
GBC245959	2	1
GBC246749	119	1
GBC246771	6	3
GBC247026	3	1
GBC247625	587	2
GBC247691	150	23
GBC247692	228	23
GBC247765	8	8
GBC247766	576	1
GBC247804	576	1
GBC247807	8	8
GBC248364	2	1
GBC248802	22	12
GBC248824	1468	1
GBC250879	28	6
GBC251831	7	4
GBC252623	184	8
GBC261403	338	28
